KOI,Pplan_pub,Pplan_fit,epoch,tau_linear_ephemeris,tau_fit,OC_min,OCmin_err
KOI-41.03,35.33314,35.334020973145286,-20.0,54986.9668427806,54986.864026370364,-148.05563074420206,133.88934872217158
KOI-41.03,35.33314,35.334020973145286,-19.0,55022.30086375375,55023.181394942905,1267.96491238405,1308.235990111224
KOI-41.03,35.33314,35.334020973145286,-18.0,55057.6348847269,55057.664563665196,42.73767115082592,10.053669898505321
KOI-41.03,35.33314,35.334020973145286,-16.0,55128.30292667318,55128.28351001768,-27.95998392160982,12.496780875817961
KOI-41.03,35.33314,35.334020973145286,-15.0,55163.63694764633,55163.66434935607,39.45846202550456,7.539089759491362
KOI-41.03,35.33314,35.334020973145286,-14.0,55198.97096861948,55198.32057790084,-936.5626348333899,1133.8913311789622
KOI-41.03,35.33314,35.334020973145286,-13.0,55234.30498959262,55234.1698154458,-194.65077142696828,14.357497311620742
KOI-41.03,35.33314,35.334020973145286,-12.0,55269.63901056577,55268.79526257425,-1214.9971077928785,529.8904826125874
KOI-41.03,35.33314,35.334020973145286,-11.0,55304.97303153891,55305.85338595764,1267.7103629743215,1336.666879635691
KOI-41.03,35.33314,35.334020973145286,-9.0,55375.6410734852,55375.67344128771,46.60963561269455,32.48205285927206
KOI-41.03,35.33314,35.334020973145286,-8.0,55410.97509445835,55410.2125489168,-1098.0655798281077,1130.9121028893933
KOI-41.03,35.33314,35.334020973145286,-7.0,55446.30911543149,55447.133958824066,1187.774485310074,1215.4063056891714
KOI-41.03,35.33314,35.334020973145286,-6.0,55481.64313640464,55481.651614962706,12.209123619832098,23.34728199303439
KOI-41.03,35.33314,35.334020973145286,-5.0,55516.97715737778,55516.961931120415,-21.925810610409826,25.673879118230186
KOI-41.03,35.33314,35.334020973145286,-4.0,55552.31117835093,55552.33009610386,27.241564221912995,20.991819558427153
KOI-41.03,35.33314,35.334020973145286,-3.0,55587.64519932408,55587.631071685864,-20.343799026450142,17.101066505072154
KOI-41.03,35.33314,35.334020973145286,-2.0,55622.97922029722,55622.96905494697,-14.63810435961932,14.833264866044953
KOI-41.03,35.33314,35.334020973145286,-1.0,55658.31324127036,55658.33175988469,26.66680463240482,27.903685233863683
KOI-41.03,35.33314,35.334020973145286,0.0,55693.64726224351,55693.668295177515,30.287424966227263,21.490660448136023
KOI-41.03,35.33314,35.334020973145286,1.0,55728.98128321666,55728.9532074721,-40.42907216353342,20.35249959441963
KOI-41.03,35.33314,35.334020973145286,2.0,55764.315304189804,55764.301817268366,-19.421166870743036,10.616475868227994
KOI-41.03,35.33314,35.334020973145286,3.0,55799.64932516294,55799.65961616566,14.819043916650116,91.86642729843682
KOI-41.03,35.33314,35.334020973145286,4.0,55834.98334613609,55834.9522553673,-44.770707056159154,63.56569844578364
KOI-41.03,35.33314,35.334020973145286,5.0,55870.31736710924,55870.32631913583,12.890918289776891,22.33734683148132
KOI-41.03,35.33314,35.334020973145286,6.0,55905.651388082384,55905.04915561613,-867.2147514077369,340.9428954858046
KOI-41.03,35.33314,35.334020973145286,7.0,55940.98540905553,55940.979093312795,-9.094669539481401,8.543992136904915
KOI-41.03,35.33314,35.334020973145286,8.0,55976.31943002867,55976.28964898245,-42.884706559125334,38.790857709131956
KOI-41.03,35.33314,35.334020973145286,10.0,56046.987471974964,56046.98277013849,-6.77064451854676,331.8807309523139
KOI-41.03,35.33314,35.334020973145286,11.0,56082.32149294811,56081.885782529804,-627.4230023624841,987.5618034855198
KOI-41.03,35.33314,35.334020973145286,12.0,56117.65551392125,56117.69206332653,52.63114360626787,11.86334814995328
KOI-70.03,77.61153,77.61178324814102,-9.0,55075.337897749865,55075.33494225881,-4.255907123442739,3.3388799114734615
KOI-70.03,77.61153,77.61178324814102,-8.0,55152.949680998005,55152.94763948236,-2.939782531466335,2.5904950346863624
KOI-70.03,77.61153,77.61178324814102,-5.0,55385.78503074243,55385.783009704886,-2.910294063622132,3.730527247220542
KOI-70.03,77.61153,77.61178324814102,-4.0,55463.39681399057,55463.40432963139,10.822522781090811,2.930528555647765
KOI-70.03,77.61153,77.61178324814102,-3.0,55541.00859723871,55541.01127085134,3.8500021887011826,2.8109199827453324
KOI-70.03,77.61153,77.61178324814102,-2.0,55618.62038048686,55618.6243445442,5.708242576802149,3.2633774824845454
KOI-70.03,77.61153,77.61178324814102,-1.0,55696.232163734996,55696.22583337339,-9.11572071025148,3.451894034238573
KOI-70.03,77.61153,77.61178324814102,-0.0,55773.843946983136,55773.83916838287,-6.881184387020767,5.090872387197392
KOI-70.03,77.61153,77.61178324814102,1.0,55851.455730231275,55851.453757156865,-2.841227150056511,4.089266333961878
KOI-70.03,77.61153,77.61178324814102,3.0,56006.67929672756,56006.678376667995,-1.3248857762664557,2.903713781213557
KOI-70.03,77.61153,77.61178324814102,4.0,56084.2910799757,56084.29109950029,0.028115407330915332,4.207562294341788
KOI-70.03,77.61153,77.61178324814102,5.0,56161.90286322384,56161.9033659728,0.723958503222093,2.667503161825048
KOI-70.03,77.61153,77.61178324814102,6.0,56239.51464647198,56239.51881009049,5.995610657846555,3.382245656808383
KOI-70.03,77.61153,77.61178324814102,8.0,56394.73821296827,56394.73445888267,-5.405883262865245,3.2108185696737284
KOI-72.02,45.29406,45.294385095911444,-15.0,54971.676493179606,54971.676291717995,-0.29010472004301846,2.4182357503361622
KOI-72.02,45.29406,45.294385095911444,-14.0,55016.97087827551,55016.9743728255,5.03215198055841,2.321802137927901
