KOI,radius_rearth,radius_rearth_uperr,radius_rearth_lowerr,mass_mearth,mass_mearth_uperr,mass_mearth_lowerr
61.01,24.87,8.04,-3.45,63299.37171487611,21328.128292508314,-61585.39070430561
63.01,5.73,0.78,-0.33,27.63200586553049,21.7577223872666,-12.490112612486955
64.01,10.35,0.77,-1.25,2109.046164768938,13338.334713366083,-2029.463070520928
65.01,0.0,0.0,0.0,nan,nan,nan
66.01,83.25,9.15,-21.34,nan,nan,nan
68.01,80.25,14.86,-34.65,nan,nan,nan
69.01,1.56,0.07,-0.07,3.4722549972039642,2.239950249625055,-1.2260807511845906
70.01,2.99,0.33,-0.27,9.204241136852685,7.247513062050951,-3.946832045928847
70.02,1.78,0.19,-0.16,4.1848864987573675,3.1416699473481824,-1.64103654411714
70.03,2.59,0.29,-0.23,7.32655644610555,6.901846510408201,-3.1416699473481824
70.04,0.84,0.09,-0.08,0.5368968932033559,0.4428708184200416,-0.24268606086862365
70.05,0.9,0.1,-0.08,0.7030642174087853,0.4777870367741177,-0.2930614512406811
72.01,1.43,0.08,-0.06,2.8809753309170802,1.9578477076410015,-1.0172952161403725
72.02,2.26,0.12,-0.09,5.831923410073292,4.592115793463398,-2.286895819340451
74.01,5.2,2.13,-1.15,22.926636236812417,28.555036872552204,-13.13146546498012
75.01,10.16,0.94,-1.27,2023.3456035754616,11336.41877775094,-1955.9305697510413
76.01,10.33,1.8,-3.35,779.294662494652,10537.794427389874,-738.3153597615329
80.01,96.08,24.5,-45.53,nan,nan,nan
81.01,10.45,3.98,-1.71,787.4610117055549,11256.206535379624,-744.7459949968601
82.01,2.48,0.16,-0.1,6.884555032633036,5.4209686364733605,-2.9521371746729534
82.02,1.34,0.09,-0.05,2.390382867628203,1.7945036311291647,-0.7102975700268912
82.03,0.95,0.06,-0.04,0.8473582595640818,0.5758461060859239,-0.2877206319210662
82.04,0.63,0.04,-0.02,0.18641569848927064,0.09004578533399238,-0.05808270097482518
82.05,0.51,0.03,-0.02,0.08475750777982449,0.04094106029072192,-0.02518552681783552
82.06,0.73,0.05,-0.03,0.31966176325096946,0.19541845954507758,-0.10854120259698213
84.01,2.1,0.26,-0.1,5.257409090923838,3.946832045928847,-2.127212806662892
85.01,2.56,0.1,-0.15,7.176156343264998,5.650578473535844,-2.991269844507631
85.02,1.42,0.06,-0.08,2.8218344522193743,1.917656862358991,-0.919094753521063
85.03,1.58,0.06,-0.1,3.5450275907328415,2.5339120029313724,-1.1546447231046386
87.01,2.34,0.22,-0.23,6.078939593664214,5.014342580582544,-2.459614218892817
88.01,18.91,3.38,-1.7,10309.130884687984,44435.72834214295,-10151.338846816676
89.01,3.37,0.58,-0.78,11.093282174246758,10.007973919909373,-5.613190952934671
89.02,4.52,0.79,-1.04,18.249553875309726,17.934441273877983,-9.04531273845704
90.01,3.88,0.89,-1.64,13.370022315554012,16.036010424880352,-7.5380989054807195
92.01,2.78,0.42,-0.25,8.127181148415854,7.656060150668109,-3.7650401456129288
94.01,9.99,1.82,-1.5,958.9186863932548,12966.710124059402,-908.4938329490369
94.02,3.72,0.67,-0.56,13.370022315554012,11.53989995588321,-5.889913634762889
94.03,6.07,1.11,-0.91,28.802383484357883,28.305056588084014,-13.660490231314347
94.04,1.5,0.27,-0.23,3.0659393790522027,2.5290052880093596,-1.3506423344580476
97.01,16.66,1.04,-0.7,1097.3803734101919,39009.90085250801,-925.938415775135
98.01,9.86,0.72,-0.36,2109.046164768938,12406.41475440453,-2034.2642128317657
99.01,3.12,0.16,-0.19,9.897815880227055,7.610171956950902,-4.417724658914969
99.02,0.0,0.0,0.0,nan,nan,nan
100.01,16.89,2.15,-4.29,1921.2036577397037,45425.23171076835,-1756.7282009934702
102.01,3.27,0.54,-0.33,10.42403920353669,8.598490383821872,-4.592115793463398
102.02,0.98,0.17,-0.1,0.9596549662058229,0.8282949751922528,-0.47564884871454166
103.01,2.62,0.33,-0.17,7.32655644610555,6.323678929902061,-3.2275776127594966
104.01,3.25,0.16,-0.12,10.865558441805874,8.555651200636952,-4.529140079453954
105.01,3.14,0.43,-0.48,9.795170771832296,7.712817065345661,-4.537761680908458
106.01,50.98,10.63,-17.29,148158.89412556548,49920.74669903307,-46162.79001176116
107.01,3.53,0.21,-0.17,12.563426637884023,10.363209598928394,-5.678871605250987
108.01,3.33,0.21,-0.17,11.325778611063082,8.095431031379743,-5.119434722353559
108.02,5.47,0.34,-0.28,26.509186247290017,18.948215070468628,-11.982580023518178
109.01,25.79,5.27,-5.28,67363.31072578934,20848.660580130556,-47957.001693564685
110.01,2.87,0.5,-0.29,8.47141496794205,6.987826764360268,-3.731923653363684
111.01,2.35,0.32,-0.27,6.33641836235192,4.989360248711162,-2.864163365147956
111.02,2.32,0.31,-0.26,6.078939593664214,4.563569845641136,-2.459614218892817
111.03,2.61,0.35,-0.3,7.251356394685274,5.844205095236436,-3.3996635068526713
111.04,0.0,0.0,0.0,nan,nan,nan
112.01,2.75,0.39,-0.28,7.960345761352788,6.8707135659289476,-3.413442485962978
112.02,1.16,0.17,-0.12,1.514576769283328,1.2493308526529905,-0.6313279143369015
113.01,41.5,1.68,-1.68,117934.16585505793,15629.302336507812,-13800.39586355169
114.01,39.21,6.45,-9.67,110819.35436236173,28401.310582312624,-27929.094052490997
115.01,2.94,0.43,-0.38,9.015295781181866,7.098735567754808,-4.176472742623784
115.02,1.79,0.26,-0.23,4.4535641023069115,3.183315008368356,-1.9619344912350725
115.03,0.55,0.08,-0.07,0.11215267615374921,0.09463398572150267,-0.05258069519176024
116.01,2.64,0.4,-0.27,7.32655644610555,6.323678929902061,-3.2275776127594966
116.02,2.87,0.43,-0.3,8.648961501411774,7.134279797672189,-3.8101384628536925
116.03,0.79,0.13,-0.08,0.42736878959454927,0.40259483576194854,-0.1979850849170655
116.04,1.31,0.2,-0.13,2.2461742460193737,2.026420397555638,-0.9362830136683538
117.01,2.89,0.13,-0.1,8.830229110010789,6.953012189073174,-3.8899925224977174
117.02,1.7,0.08,-0.05,4.014834686964135,2.728393681152471,-1.4709847323239074
117.03,1.53,0.07,-0.05,3.4009762849590546,2.1939683821025078,-1.2009116731292417
117.04,1.06,0.05,-0.04,1.180851254182903,0.7617666512704224,-0.3679251846721513
118.01,2.29,0.12,-0.08,6.206343888709523,4.8869382855372345,-2.5870185139381263
119.01,8.2,0.5,-0.55,70.27045616127702,7720.682654617109,-36.269393351268235
119.02,7.78,0.48,-0.52,50.42485344421787,2241.0659474135123,-24.459849769892404
120.01,2.41,0.56,-0.63,6.206343888709523,5.846571063197373,-3.0105439831582186
121.01,63.66,8.98,-17.95,nan,nan,nan
122.01,3.13,0.2,-0.17,9.594094768083302,8.280830890023545,-4.226499272331216
123.01,2.54,0.11,-0.12,7.32655644610555,5.500178370695292,-3.1416699473481824
123.02,2.48,0.11,-0.11,7.028843665069428,5.276680004036968,-3.096425807109346
124.01,2.57,0.4,-0.65,7.028843665069428,7.199559291444323,-3.1771507772368253
124.02,3.09,0.49,-0.78,9.594094768083302,8.655459107226424,-4.65385818057023
125.01,13.26,1.78,-0.59,1364.3252534115793,12853.161190156483,-1161.9389205934574
126.01,20.7,3.24,-4.86,47346.43536850805,18634.03623833556,-47135.476786703024
126.02,0.73,0.11,-0.17,0.30667238778810174,0.3819592743841788,-0.1756497476431522
127.01,10.43,0.62,-0.62,2705.0928854840863,11810.368033689383,-2616.8131829986396
128.01,10.62,1.44,-0.73,2244.4509050154784,11681.17790543718,-2148.5344999945287
129.01,77.76,21.27,-31.9,nan,nan,nan
129.02,0.0,0.0,0.0,nan,nan,nan
130.01,21.95,3.79,-4.63,54744.85922683094,16943.303056663302,-54485.275611179975
131.01,10.63,3.57,-1.53,1020.4830740380615,11275.599380277927,-971.0933457852644
132.01,13.95,4.3,-2.5,1392.9192037947316,27990.55223175718,-1256.451768710389
133.01,7.48,2.17,-1.17,47.382789050059564,2547.7893264484796,-25.38777091843399
134.01,12.1,2.25,-2.76,1364.3252534115793,12275.437199412081,-1268.4088483906298
135.01,12.14,0.79,-0.95,1768.2406600014774,10785.546891194219,-1561.6126518611704
136.01,27.36,3.78,-7.02,71688.16228349424,18372.58278397136,-21301.996495725878
137.01,4.91,0.3,-0.33,20.6680879189061,17.838987941411805,-9.104940138837678
137.02,5.94,0.37,-0.4,28.21112598569996,23.27054712366466,-13.069232732656426
137.03,2.03,0.13,-0.14,5.149484600917335,3.6807445090934543,-2.083545221865132
138.01,24.19,6.7,-6.7,61999.957442196865,24401.191869274284,-61463.472474485294
139.01,7.67,1.33,-1.2,51.48167310936462,4044.3522847622576,-27.58395927300546
139.02,1.67,0.29,-0.26,3.619325374771397,3.123902993345209,-1.5519877371091755
140.01,6.85,2.9,-1.56,nan,nan,nan
141.01,5.11,0.6,-0.23,23.407139765841674,17.57216296727739,-10.311578275919963
142.01,3.93,0.66,-0.15,13.936321228397947,11.495670893829306,-6.139386044710224
142.02,0.0,0.0,0.0,nan,nan,nan
143.01,7.62,2.93,-0.98,48.3758521893109,2546.7962633092284,-28.954642546868072
144.01,3.07,0.2,-0.11,9.795170771832296,7.001384376920289,-4.42757527608021
145.01,39.0,1.1,-9.39,108544.44630488238,22277.22094656639,-20332.474998962483
146.01,67.37,16.41,-30.46,nan,nan,nan
147.01,40.15,12.09,-6.53,113141.94064609917,35016.953479466305,-33619.90524504981
148.01,1.85,0.13,-0.14,4.362141002802925,3.598204758549863,-1.5982333808666067
148.02,2.63,0.2,-0.19,7.480108680791123,5.34662613600972,-3.295222182033755
148.03,2.0,0.15,-0.15,4.940236587513072,3.8899925224977174,-1.9988808850816944
149.01,4.32,0.71,-0.86,17.148582543488807,15.47085561900461,-8.677167575546758
150.01,2.28,0.19,-0.2,6.0165451286263725,4.849013313179501,-2.615568843667318
150.02,2.32,0.19,-0.2,6.078939593664214,5.246839017398869,-2.3837592789304343
151.01,5.24,1.64,-0.7,23.407139765841674,22.05026155191697,-11.601647960351508
152.01,7.14,1.33,-1.09,44.067249795151604,1634.7290294281188,-22.965993700995472
152.02,3.63,0.67,-0.56,12.563426637884023,10.363209598928394,-5.5345829728145945
152.03,3.39,0.63,-0.52,11.325778611063082,11.130217909373794,-5.613573364234063
152.04,3.01,0.56,-0.46,9.397146467691957,7.399408681060628,-4.456909880178886
153.01,2.36,0.16,-0.08,6.33641836235192,5.469073443138245,-2.7913907716190787
153.02,2.0,0.14,-0.06,4.940236587513072,3.7087249138987026,-1.8100403032521255
154.01,0.0,0.0,0.0,nan,nan,nan
155.01,3.24,0.5,-0.54,10.64250943930535,10.458746654850781,-5.0475647722437875
